IDENT_DIV,IDENT_SUFX_CD,xlisting,DEPARTMENT,CRS_TITLE,credit,CRS_DESCRIPTION,FORMAT,FINALEXAMSTATUS,PREREQS,CR_RESTRICT,AC,AL,BS,HS,IS,PV,PS,SS,RCA,RCB,pubHealthMaj
LD ARCH,121,,Landscape Architecture,Design in Detail: Introduction to Landscape Materials and Construction,4,"This course introduces the visual and physical characteristics of landscape construction materials including, but not limited to, stone, brick, concrete, metal, asphalt, and wood. Additionally, lectures cover the production and availability of these materials, any existing evaluations on their sustainability, and their potential impact on the immediate environment. Students also learn to utilize standard sources of information on building materials and the terminology typically utilized when choosing and specifying construction materials. They become familiar with dimensional standards for landscape structures, including pavements, stairs, furnishings, retaining walls, freestanding walls, fences, decks, and small overhead structures. ",Three hours of Lecture and  One and one-half hours of Laboratory per week for 15 weeks.,Y,"101, Architecture 100A, or consent of instructor. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
LD ARCH,12,,Landscape Architecture,Environmental Science for Sustainable Development,4,"The scientific basis of sustainability, explored through study of energy, water, food, natural resources, and built environment. Physical/ecological processes and systems, and human impacts from the global scale to local energy/resource use. Energy and water audits of University of California at Berkeley, opportunities to increase sustainability of processes/practices. Discussion/lab section involves data collection/analysis (e.g., Strawberry Creek, atmospheric particulates) and integrative sustainability assessment project. ",Three hours of Lecture and  Two hours of Laboratory per week for 15 weeks.,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
LD ARCH,122,,Landscape Architecture,Environmental Science for Sustainable Development,4,"Topics include the scientific basis of sustainablility, explored through study of energy, water, food, natural resources, and the built environment; physical/ecological processes and systems, and human impacts from the global scale to local energy/resource use; and energy and water audits of the Berkeley campus, opportunities to increase sustainability of processes/practices. Discussion/lab section involves data collection/analysis (e.g., Strawberry Creek, atmospheric particulates) and integrative sustainability assessment projects. ", Three hours of lecture and two hours of discussion/laboratory per week. ,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
PACS,10,,Peace and Conflict Studies,Introduction to Peace and Conflict Studies,4,"This course introduces students to a broad range of issues, concepts, and approaches integral to the study of peace and conflict. Subject areas include the war system and war prevention, conflict resolution and nonviolence, human rights and social justice, development and environmental sustainability. Required of all Peace and Conflict Studies majors. ",Four hours of Lecture and  One hour of Discussion per week for 15 weeks.  Seven hours of Lecture and  Two hours of Discussion per week for 8 weeks.  Ten hours of Lecture and  Two and one-half hours of Discussion per week for 6 weeks.,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UGIS,187,,Undergrad Interdisciplinary Studies,Project-Based Instruction,4,"Framed around the topic of sustainability, the course engages students from different math, science, and engineering majors in the process of applying the content knowledge from their discipline to build project-based curricula for presentation as part of a 45-hour field placement in a local high school classroom. Students develop pedagogical content knowledge and relate teaching theory to practice through readings, classroom activities, discussion, lesson planning, and field observations.",Two hours of lecture and three hours of fieldwork and one hour of discussion per week. ,n,Education 131. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ENV DES,106,,Environmental Design,Sustainable Environmental Design Workshop,5,"This course asks students to reflect back, reviewing the various disciplinary approaches introduced toward sustainability and to look forward by proposing interdisciplinary ways to affect the environment. Each year will be organized around a theme and project advanced by the faculty of the College. The workshop will require independent as well as collaborative research often in partnership with an external 'client' organization. ",Four hours of Lecture and  Four hours of Studio per week for 15 weeks.,N,Environmental Design 102. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PB HLTH,143,,Public Health,Introduction to Statistical Methods in Computational and Genomic Biology,4,"This course provides an introduction to statistical and computational methods for the analysis of biomedical and genomic data. Statistical topics, introduced in a biological context, include numerical and graphical summaries of data; basic notions in probability; loss-based estimation (e.g., least-squares regression, maximum likelihood estimation); model selection; multiple hypothesis testing; Markov chains; hidden Markov models, resampling; simulation studies. Biological questions considered include, but are not limited to, modeling meiosis; genetic mapping; nucleotide and protein-sequence analysis; molecular evolution; computational gene finding; and DNA microarray experiments. The course also introduces statistical computing resources for the analysis of biological data, with emphasis on the R language and environment (www.r-project.org) and bioconductor packages (www.bioconductor.org). In addition, the course introduces basic notions in genetics and molecular biology and involves the critical reading of articles related to statistical analyses in the biological and medical sciences. ",Three hours of Lecture and  One hour of Laboratory per week for 15 weeks.,Y,"142, Statistics 134, 135 or consent of instructor. ",,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PB HLTH,142,,Public Health,Introduction to Probability and Statistics in Biology and Public Health,4,"Descriptive statistics, probability, probability distributions, point and interval estimation, hypothesis testing, chi-square, correlation and regression with biomedical applications. ",Three hours of Lecture and  Two hours of Discussion per week for 15 weeks.,Y,High school algebra. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PB HLTH,150A,,Public Health,Introduction to Epidemiology and Human Disease,4,This course introduces epidemiological methods with the goal of teaching students to read critically and interpret published epidemiologic studies in humans. The course also exposes students to the epidemiology of diseases and conditions of current public health importance in the United States and internationally. ,Four hours of Lecture and  One hour of Discussion per week for 15 weeks.,Y,"A course in statistics, preferably 142. ",,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PB HLTH,112,,Public Health,Global Health: A Multidisciplinary Examination,4,"This course examines health at the individual and community/global level by examining the interplay of many factors, including the legal, social, political, and physical environments; economic forces; access to food, safe water, sanitation, and affordable preventive/medical care; nutrition; cultural beliefs and human behaviors; and religion; among others. Students will be expected to read, understand, and use advanced materials from diverse disciplines. Class accompanied by case-based discussions. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
PB HLTH,114,,Public Health,Issues in Personal and Community Health Promotion,3,"Introduction to trends and issues in the educational approach to health promotion at the individual and community levels. Presentation of basic information on selected topics (i.e., stress, sexuality, fitness, alcohol and drugs, environmental health), with emphasis on the social and political factors that influence both the definition of health and actual health status. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PB HLTH,105,,Public Health,"Policy, Planning, and Evaluation of Health Promotion in a College Setting",3,"Theory and practice of policy, planning, implementation, and evaluation of health promotion programs in a college setting. Comparison of different methodologies (peer education, teaching, problem-posing, organizational change), content areas (stress, nutrition, alcohol and drugs, AIDS, sexuality, women's health, self-care, health services), and settings (clinical, classroom, living room, campus). ", Three hours of lecture/discussion per week. ,Y,"14, 104A or 104B, and consent of instructor. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PB HLTH,150E,,Public Health,Introduction to Community Health and Human Development,3,"This course will consist of a survey of the major social, cultural, and bio-behavioral patterns of health and well-being among individuals, families, neighborhoods, and communities. The course also will address the design, implementation, and evaluation of leading social and behavioral interventions and social policies designed to improve community and population health. This course will satisfy one of the core requirements for the undergraduate major in public health. ", Three hours of lecture/discussion per week. ,Y,Third or fourth undergraduate standing or consent of instructor. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PB HLTH,150B,,Public Health,Introduction to Environmental Health Sciences,3,"The course will present the major human and natural activities that lead to release of hazardous materials into the environment as well as the causal links between chemical, physical, and biological hazards in the environment and their impact on human health. The basic principles of toxicology will be presented including dose-response relationships, absorption, distribution, metabolism, and excretion of chemicals. The overall role of environmental risks in the pattern of human disease, both nationally and internationally, will be covered. The engineering and policy strategies, including risk assessment, used to evaluate and control these risks will be introduced. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.,Y,142 and 150A recommended. May be taken concurrently. ,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
PB HLTH,126,,Public Health,Health Economics and Public Policy,3,This course focuses on a selected set of the major health policy issues and uses economics to uncover and better understand the issues. The course examines the scope for government intervention in health markets. , Three hours of lecture/discussion per week. Six hours of lecture/discussion per week for eight weeks. ,Y,Public Health major or consent of instructor. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PB HLTH,150D,,Public Health,Introduction to Health Policy and Management,3,"This course is intended to introduce students to health policy making and health care organizations in the United States. Students will be introduced to concepts from public policy, economics, organizational behavior, and political science. Students will also be introduced to current issues in U.S. health policy and the present organization of the U.S. health care system. ", Three hours of lecture/discussion per week. Six hours of lecture/discussion per week for eight weeks. ,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PB HLTH,183,,Public Health,"The History of Medicine, Public Health, and the Allied Health Sciences",3,"This course will examine the historical developments of social and scientific responses to human disease from their beginnings to their current roles as major forces in modern society. It will consider the evolution of diagnoses, treatment, and prevention of human morbidity and death from both a humanistic and scientific perspective. It invites pre-medical, pre-dental, and other students preparing for careers in public health, nursing, optometry, or the other health sciences, students interested in public policy and health-related law, and students of history or the other humanities who wish an overview of medicine and health from a broad historical perspective. ",Three hours of Lecture per week for 15 weeks.,Y,Knowledge of (and preferably a college level course which covered) basic aspects of (mammalian) physiology and anatomy. Graduate or upper division undergraduate status. ,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PB HLTH,181,,Public Health,Poverty and Population,3,"Globally one million more births than deaths occur every 112 hours, 90% in the poorest countries. Between 1960 and 1980, considerable attention was focused on rapid population growth. Afterwards, the attention has faded and investment in family planning evaporated. Family size among some of the poorest women is increasing. This course seeks to provide an understanding of the relationships between population growth, poverty, women's autonomy, and health. It explores the political ""fashions"" underlying changing paradigms among demographers, and economists, and development specialists. ", Two hours of lecture/discussion per week. ,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PB HLTH,116,,Public Health,"Seminar on Social, Political, and Ethical Issues in Health and Medicine",2,"An interdisciplinary approach to health and medicine administered through the Health and Medical Apprenticeship Program (HMAP). Guest lecturers will speak on the social, political, and ethical aspects of health and medicine; students will then discuss and present analyses of the reading materials as well as issues raised by the speakers. ",Two hours of Lecture and  One hour of Discussion per week for 15 weeks.,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PB HLTH,107,,Public Health,"Violence, Social Justice, and Public Health",2,"This course addresses violence as a public health issue, using an interdisciplinary public health approach to enable undergraduate students to explore and analyze violence from personal, social, community, and political perspectives. Beginning with individual experiences of violence and its impact, the course will go on to focus on gender- and race-based violence, firearms, poverty, youth, and collective violence; students will learn to apply public health strategies to identify causes of violence and develop practical community-based plans to prevent violence and promote safety. ",Two hours of Lecture per week for 15 weeks.,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
STAT,152,,Statistics,Sampling Surveys,4,"Theory and practice of sampling from finite populations. Simple random, stratified, cluster, and double sampling. Sampling with unequal probabilities. Properties of various estimators including ratio, regression, and difference estimators. Error estimation for complex samples. ",Three hours of Lecture and  Two hours of Laboratory per week for 15 weeks.,Y,101 or 134. 133 and 135 recommended. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
STAT,135,,Statistics,Concepts of Statistics,4,"A comprehensive survey course in statistical theory and methodology. Topics include descriptive statistics, maximum likelihood estimation, non-parametric methods, introduction to optimality, goodness-of-fit tests, analysis of variance, bootstrap and computer-intensive methods and least squares estimation. The laboratory includes computer-based data-analytic applications to science and engineering. ",Three hours of Lecture and  Two hours of Laboratory per week for 15 weeks.  Six hours of Lecture and  Four hours of Laboratory per week for 8 weeks.,Y,Statistics 134 and linear algebra (Mathematics 54 or equivalent). Statistics 133 strongly recommended. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
STAT,134,,Statistics,Concepts of Probability,3,"An introduction to probability, emphasizing concepts and applications. Conditional expectation, independence, laws of large numbers. Discrete and continuous random variables. Central limit theorem. Selected topics such as the Poisson process, Markov chains, characteristic functions. ",Three hours of Lecture per week for 15 weeks.  Five hours of Lecture per week for 8 weeks.,Y,One year of calculus. ,Students will not receive credit for 134 after taking 101. ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
STAT,150,,Statistics,Stochastic Processes,3,"Random walks, discrete time Markov chains, Poisson processes. Further topics such as: continuous time Markov chains, queueing theory, point processes, branching processes, renewal theory, stationary processes, Gaussian processes. ",Three hours of Lecture per week for 15 weeks.,Y,101 or 103A or 134. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
MCELLBI,102,,Molecular and Cell Biology,Survey of the Principles of Biochemistry and Molecular Biology,4,"A comprehensive survey of the fundamentals of biological chemistry, including the properties of intermediary metabolites, the structure and function of biological macromolecules, the logic of metabolic pathways (both degradative and biosynthetic) and the molecular basis of genetics and gene expression. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.  Four hours of Lecture and  Two hours of Discussion per week for 10 weeks.  Six hours of Lecture and  Two hours of Discussion per week for 8 weeks.,Y,"Biology 1A, 1AL, and Chemistry 3B (or equivalent courses). Recommended: a course in physical chemistry. ","Students will receive 2 units of credit for 102 after taking 100 or C100A/Chemistry C130. Students will receive no credit for 102 after taking 110 and any of 100, 100B or C100A/Chemistry C130. No credit for 102 after taking Chemistry 135. ",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
MCELLBI,150,,Molecular and Cell Biology,Molecular Immunology,4,"Fundamentals of immunology with emphasis on biochemical and molecular approaches to study of the immune system and its application in medicine and biotechnology. Topics covered include description of the immune system, antibody and T-cell receptor structure and function, genes of the immunoglobulin superfamily, cells and molecular mediators that regulate the immune response, allergy, autoimmunity, immunodeficiency, tissue and organ transplants, and tumor immunology. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.,Y,"C100A/Chemistry C130, or 102. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
MCELLBI,140,,Molecular and Cell Biology,General Genetics,4,"In-depth introduction to genetics, including mechanisms of inheritance; gene transmission and recombination; transposable DNA elements; gene structure, function, and regulation; and developmental genetics. Some exams may be given in the evening. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.,Y,C100A/Chemistry C130 and 110 or consent of instructor (110 may be taken concurrently). ,"Students will receive 1 unit of credit for 140 after taking 104, C142, or Integrative Biology C163. ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ESPM,102D,,"Environ Sci, Policy, and Management",Resource and Environmental Policy,4,"The course develops capacities to analyze and affect the cause, dynamics, and consequences of resources and environmental policy formation and execution. It develops concepts of public policy and how cultural, legal, political, economic, and administrative processes form, execute, and modify it. It examines the causes and outcomes of politics among groups defined by race, ethnicity, class, and scientific/religious identities and analyzes resource and environmental policies that create or reduce enduring inequalities among racial/ethnic groups. It examines the social and environmental consequences of resource policies as well as alternative policies and processes. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.,Y,"Environmental Economics and Policy 1 or one lower division course in a social science, or consent of instructor. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ESPM,146,,"Environ Sci, Policy, and Management",Medical/Veterinary Entomology,3,"The role of insects and other arthropods in the transmission and causation of diseases in humans and domestic animals, including the geographical areas and types of ecosystems inhabited by various species and the structural/behavioral adaptations associated with parasitism. Examples of vector-borne diseases considered include malaria, yellow fever, plague, typhus, filariasis, African and American trypanosomiasis, Lyme disease, Rocky Mountain spotted fever, relapsing fevers. ", Two hours of lecture and one hour of demonstration/discussion per week. ,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ESPM,145,,"Environ Sci, Policy, and Management",Arthropod-Borne Zoonotic Diseases: Basic Principles and Methods of Study,2,"This course will focus on the ecology and epidemiology of zoonotic disease agents transmitted to humans by arthropods. Basic principles will be discussed, and techniques for conducting field and laboratory studies will be demonstrated. Includes methods for collecting bloodsucking arthropods and trapping selected vertebrates; processing of specimens for study; and examination of arthropod and vertebrate tissues for pathogens. ",Two hours of Lecture per week for 15 weeks.,Y,146 or consent of instructor. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
INTEGBI,140,,Integrative Biology,Biology of Human Reproduction,4,"Course focuses on biological and cultural aspects of human reproduction including conception, embryology, pregnancy, labor, delivery, lactation, infant/child development, puberty, and reproductive aging. This includes study of factors that diminish and factors that enhance fertility, reproduction, and maternal-child health. We explore evolutionary, ecological, environmental, cultural, ethnobiological, and nutritional determinants of fertility, reproductive rate, infant survival, and population growth. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.  Six hours of Lecture and  Two hours of Discussion per week for 8 weeks.,Y,Biology 1A or equivalent. ,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
INTEGBI,137,,Integrative Biology,Human Endocrinology,4,"Course will address the role of hormones in physiology with a focus on humans. Regulation of hormone secretion and mechanisms of hormone action will be discussed. Physiological processes to be addressed include reproduction, metabolism, water balance, growth, fetal development. Experimental and clinical aspects will be addressed. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.,Y,Biology 1A-1B; human physiology (132) strongly recommended. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
INTEGBI,131,,Integrative Biology,General Human Anatomy,3,The functional anatomy of the human body as revealed by gross and microscopic examination. Designed to be taken concurrently with 131L. ,Three hours of Lecture per week for 15 weeks.  Six hours of Lecture per week for 8 weeks.  Eight hours of Lecture per week for 6 weeks.,Y,Biology 1A-1B or Chemistry 1A. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
INTEGBI,132,,Integrative Biology,Survey of Human Physiology,3,"Mechanisms by which key physiological priorities are maintained in healthy humans. From a basis in elementary theories of information and control, we develop an understanding of homeostasis of cellular composition, structure, and energy metabolism. We then study neural and endocrine signaling in humans, and develop the key concepts of control and homeostasis in all the major organ and multi-organ systems, including cardiovascular, respiratory, renal, metabolic, reproductive, and immune systems, growth and development, and sensory and motor systems. ", Three hours of lecture per week. ,Y,"131, Biology 1A. ","Students will receive no credit for 132 after taking Physiology 100 or 101 or Molecular and Cell Biology 32, 136. ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PUB POL,101,,Public Policy,Introduction to Public Policy Analysis,4,"A systematic and critical approach to evaluating and designing public policies. Combines theory and application to particular cases and problems. Diverse policy topics, including environmental, health, education, communications, safety, and arts policy issues, among others. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.,N,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PUB POL,179,,Public Policy,Public Budgeting,4,"Public sector budgeting incorporates many, perhaps most, of the skills of the public manager and analyst. The goal of this course is to develop and hone these skills. Using cases and readings from all levels of American government, the course will allow the student to gain and understanding of the effects and consequences of public sector budgeting, its processes and participants, and the potential impacts of various reforms. Undegraduate level of Public Policy 269. This course can be applied to the political science major. ",Three hours of Lecture per week for 15 weeks.,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PUB POL,117AC,,Public Policy,"Race, Ethnicity, and Public Policy",4,"The objective of this course is to use the tools and insights of public policy analysis as a means of understanding the ways in which policies are shaped by and respond to issues of race, ethnicity, and cultural difference. The course is organized around a series of discrete policy problems involving issues of race and ethnicity. It is designed to allow for comparative analysis within and across cases to explore the variety of ways in which policy intersects with different racial and ethnic groups. ",Three hours of Lecture per week for 15 weeks.,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
LEGALST,168,,Legal Studies,"Sex, Reproduction and the Law",4,"This course examines recent American legal and social history with respect to reproductive and sexual behavior. We will consider two theoretical aspects of the problem: first, theories of how law regulates social behavior and second, more general theories about how reproduction is socially regulated. Armed with these theoretical perspectives, the course will then examine closely a number of legal/social conflicts, including sterilization, abortion and contraception. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.  Eight hours of Lecture and  Two hours of Discussion per week for 6 weeks.,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
LEGALST,107,,Legal Studies,Theories of Justice,4,"Major perspectives in social and economic thought, e.g., natural law, natural right, laissez faire, ""possessive individualism,"" contractualism, pluralism, and social equality as they affect contemporary discussion of ""higher law,"" fairness, civic competence, and distributive justice. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
LEGALST,103,,Legal Studies,Theories of Law and Society,4,"An historical examination of major interpretations of law, morals and social development, with special emphasis on the social thought of the 18th and 19th centuries and including the writings of Marx, Maine, Durkheim, Weber and other contemporary figures. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.,Y,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
LEGALST,179,,Legal Studies,Comparative Constitutional Law,4,An examination of constitutional decision-making in a number of countries based on selected high court opinions. ,Three hours of Lecture and  One hour of Discussion per week for 15 weeks.,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
AMERSTD,C10,"L & S C40T,",American Studies,"Introduction to American Studies: Hollywood: the Place, the Industry, the Fantasy",4,"This course will introduce students to the interdisciplinary field of American Studies, taking the ""Hollywood Dream Factory"" as the central theme. Focusing on both parts of that phrase, the course will proceed along a double path. We will examine the historical and geographical development of the motion picture industry from the rise of the studio system to the ""new"" entertainment economy of the 1980's and we will examine ways Hollywood is represented in literature and film. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.,Y,,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMERSTD,110AC,,American Studies,Special Topics in American Studies--American Cultures,3,"This course is designed primarily to allow faculty to develop focused interdisciplinary courses that address specific issues, themes, or problems in American society and American cultures. Topics vary from semester to semester. ", Three or four hours of lecture per week. ,Y,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMERSTD,111AC,,American Studies,Introduction to American Studies,4,"American culture and cultural change, with attention to the multicultural basis of American society and emphasis on the need for multiple methods of analysis. The course will consistently draw on the arts, material culture, and various fields affecting cultural production and meaning. Those areas include literature, film, history, architecture, history of art, religion, music, engineering, environmental studies, anthropology, politics, economics, law, and medicine. ",,y,,Students will receive no credit for 10AC after taking 10 or Undergraduate and Interdisciplinary Studies 10. ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMERSTD,10AC,,American Studies,Introduction to American Studies,4,"American culture and cultural change, with attention to the multicultural basis of American society and emphasis on the need for multiple methods of analysis. The course will consistently draw on the arts, material culture, and various fields affecting cultural production and meaning. Those areas include literature, film, history, architecture, history of art, religion, music, engineering, environmental studies, anthropology, politics, economics, law, and medicine. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.,Y,,Students will receive no credit for 10AC after taking 10 or Undergraduate and Interdisciplinary Studies 10. ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMERSTD,179AC,,American Studies,Representing Race and Ethnicity in American Culture,3,"This course offers students a unified course experience that examines the politics of visual representation and ways of ""seeing"" race and ethnicity in the U.S. in a comparative way. This course satisfies the American Cultures requirement by combining the following 1-unit courses: American Studies 180C - The Politics of Adverstising in the United States: Race, Ethnicity, and Representation; American Studies 181B - Writing Narratives of Race and Gender: Photography and Art;and American Studies 184I - Race and American Film. ",Fifteen hours of Lecture and  One hour of Discussion per week for 3 weeks.,Y,,"Students will receive no credit or partial credit for 179AC after taking 180C, 181B, or 184I. ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ANTHRO,3AC,,Anthropology,Introduction to Social/Cultural Anthropology (American Cultures),4,The structure and dynamics of human cultures and social institutions from a comparative perspective with special attention to American cultures and their roots. Case studies will illustrate the principles presented in the course. It fulfills the requirements for 3. ,Three hours of Lecture and  One hour of Discussion per week for 15 weeks.  Six hours of Lecture and  One and one-half hours of Discussion per week for 8 weeks.  Eight hours of Lecture and  Two hours of Discussion per week for 6 weeks.,Y,,Students will receive no credit for 3AC after taking 3; deficient grade in 3AC may be removed by taking 3. ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ANTHRO,172AC,,Anthropology,Special Topics in American Cultures,4,"Various topics which meet the American cultures requirement, taught by members of the Social/Cultural faculty. See the Schedule of Classes for each semester, and the department's Internal Catalog for course title, description, instructor name, and specific format. ",Three hours of Lecture per week for 15 weeks.  Six hours of Lecture per week for 8 weeks.  Eight hours of Lecture per week for 6 weeks.,Y,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ANTHRO,12AC,,Anthropology,Anthropological Views of American Cultures,3,"The seminar will examine anthropologists' research and writing on American cultures (African American, American Indian, Asian American, Chicano/Latino, European American, and people of mixed heritages) plus intercultural relations. Each student will focus on two culture categories, to discover how anthropologists of diverse cultures have described and analyzed those cultures. Have they exhibited ethnocentric, colonialist or other biases? Have they exhibited cultural relativity and empathy? Is there a shared ""anthropological view"" of American cultures? If not, why not? If so, how so and what is its impact? ",Two hours of Seminar per week for 15 weeks.  Three and one-half hours of Seminar per week for 8 weeks.  Five hours of Seminar per week for 6 weeks.,Y,Limited to freshmen and sophomores. Consent of instructor. ,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ANTHRO,11AC,,Anthropology,Humor in America:  Cross-Cultural Perspectives,3,"This seminar explores social scientific approaches to ethnic humor, especially as applied to American cultures. The seminar covers three major domains: (1) sources of ethnic humor; (2) types of ethnic humor; and (3) impact of ethnic humor on individuals and groups. We shall discuss the humor of each of the following groups: African-Americans, Asian-Americans, Native-Americans, Chicanos/Latins, and Euro-Americans. ",Two hours of Seminar per week for 15 weeks.  Three and one-half hours of Seminar per week for 8 weeks.  Five hours of Seminar per week for 6 weeks.,N,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
